source,target,accuracy,kappa,f1_macro,cka
1,2,0.2048611111111111,-0.06018518518518512,0.16395871741474907,0.020142200862484853
1,3,0.4409722222222222,0.25462962962962965,0.39426495544800527,0.2107941173296526
1,4,0.3472222222222222,0.12962962962962965,0.34113499198464975,0.021320556586520455
1,5,0.28125,0.04166666666666663,0.24706280971907196,0.03225149505277006
1,6,0.2951388888888889,0.06018518518518523,0.23848043396106525,0.03683943862455964
1,7,0.4131944444444444,0.21759259259259256,0.38916741730613547,0.25048212524707175
1,8,0.3194444444444444,0.09259259259259256,0.2248423853317138,0.14590178176822485
1,9,0.4444444444444444,0.2592592592592593,0.3641351386638199,0.22385070904778634
2,1,0.2881944444444444,0.05092592592592593,0.2594395781855736,0.034808507265371984
2,3,0.19791666666666666,-0.06944444444444442,0.14829989239320254,0.09969529877867506
2,4,0.3611111111111111,0.14814814814814814,0.33006681176043356,0.038271094832907034
2,5,0.2743055555555556,0.03240740740740744,0.17468430285500028,0.035394700559683474
2,6,0.3020833333333333,0.06944444444444442,0.2586945684685075,0.014093350640660522
2,7,0.12152777777777778,-0.17129629629629628,0.1210891117994661,0.025564897473301644
2,8,0.2534722222222222,0.00462962962962965,0.21809247654690858,0.029414786136634376
2,9,0.2361111111111111,-0.0185185185185186,0.19515841151897,0.05653747460002526
3,1,0.5416666666666666,0.38888888888888884,0.5243707715839265,0.221302198621367
3,2,0.19444444444444445,-0.07407407407407418,0.18679657774073352,0.07311279874464738
3,4,0.3402777777777778,0.12037037037037035,0.27518534527048455,0.03687392748304439
3,5,0.2881944444444444,0.05092592592592593,0.21410418960550756,0.02813214166274135
3,6,0.2986111111111111,0.06481481481481477,0.29259259259259257,0.08291977753784617
3,7,0.4236111111111111,0.2314814814814815,0.4124516839122093,0.23830056518282094
3,8,0.4236111111111111,0.2314814814814815,0.37263645243121535,0.15569505453950072
3,9,0.4895833333333333,0.3194444444444444,0.4716686888525785,0.286282201577487
4,1,0.4618055555555556,0.28240740740740744,0.44862645602146445,0.014976548200920852
4,2,0.2326388888888889,-0.02314814814814814,0.20278824873277645,0.031156746185142553
4,3,0.3125,0.08333333333333337,0.24876885235711338,0.02686439949685475
4,5,0.28125,0.04166666666666663,0.2759567634349155,0.007724719493056935
4,6,0.2777777777777778,0.03703703703703709,0.264618473153712,0.010934496900245547
4,7,0.375,0.16666666666666663,0.3586560172451678,0.004820094775459212
4,8,0.3819444444444444,0.17592592592592593,0.31657464960456766,0.009491635478525818
4,9,0.4201388888888889,0.22685185185185186,0.38146409667432335,0.012068203627843393
5,1,0.2951388888888889,0.06018518518518523,0.27814434963704976,0.029953758040935325
5,2,0.2534722222222222,0.00462962962962965,0.1757068592203953,0.03940141680206093
5,3,0.2777777777777778,0.03703703703703709,0.22877560683364254,0.027724306629950027
5,4,0.2708333333333333,0.02777777777777779,0.22536558454831035,0.01295745473575878
5,6,0.2013888888888889,-0.06481481481481488,0.13147385659916988,0.01830283543979487
5,7,0.3055555555555556,0.07407407407407407,0.2833558123214235,0.03149840410347128
5,8,0.3194444444444444,0.09259259259259256,0.2524131220461496,0.019731884894206304
5,9,0.2152777777777778,-0.04629629629629628,0.12306532270667292,0.0229386127978519
6,1,0.4479166666666667,0.26388888888888884,0.39614646464646464,0.038675206718798205
6,2,0.2465277777777778,-0.004629629629629539,0.18946838332379262,0.010221819747476052
6,3,0.5381944444444444,0.3842592592592593,0.5481871186545082,0.07834642614726121
6,4,0.3923611111111111,0.18981481481481477,0.33214559386973186,0.00870522913691763
6,5,0.28125,0.04166666666666663,0.20371138578639397,0.016916372201224952
6,7,0.3402777777777778,0.12037037037037035,0.33539554371878233,0.03247912476838913
6,8,0.4895833333333333,0.3194444444444444,0.44820933834274546,0.0123544006717603
6,9,0.4756944444444444,0.30092592592592593,0.4184204448437122,0.0373031665064207
7,1,0.5104166666666666,0.3472222222222222,0.46717460152640056,0.27650797308777103
7,2,0.1736111111111111,-0.10185185185185186,0.1527092030210841,0.023169327597709167
7,3,0.4861111111111111,0.31481481481481477,0.4616867012074028,0.2798182888562242
7,4,0.3333333333333333,0.11111111111111116,0.3343102982436962,0.007218116056674556
7,5,0.2951388888888889,0.06018518518518523,0.26190925837317564,0.04324931309279873
7,6,0.2673611111111111,0.02314814814814814,0.24631102506368538,0.04638214361593478
7,8,0.3194444444444444,0.09259259259259256,0.22836361387943216,0.2006464519240382
7,9,0.4791666666666667,0.3055555555555556,0.4368216997804472,0.21030168091274884
8,1,0.4583333333333333,0.2777777777777778,0.3776455026455027,0.13235735445981728
