source,target,accuracy,kappa,f1_macro,cka
1,2,0.25,0.0,0.14760127931769723,0.023609925867066176
1,3,0.5590277777777778,0.4120370370370371,0.5159853921453144,0.23176862437547896
1,4,0.3368055555555556,0.1157407407407407,0.28485104866500266,0.020204282038424233
1,5,0.2743055555555556,0.03240740740740744,0.14710375168031284,0.03425144080447719
1,6,0.2569444444444444,0.0092592592592593,0.15577533577533578,0.045698460580820534
1,7,0.4548611111111111,0.27314814814814814,0.4528329245656568,0.25743810354753643
1,8,0.2534722222222222,0.00462962962962965,0.10759709289121054,0.14702291267693468
1,9,0.2569444444444444,0.0092592592592593,0.11737957610789981,0.221837321170172
2,1,0.4097222222222222,0.2129629629629629,0.27930763178599527,0.032368644639661166
2,3,0.1527777777777778,-0.12962962962962954,0.12506287572077046,0.0917123078001307
2,4,0.34375,0.125,0.27460687536228573,0.03878569548211145
2,5,0.2951388888888889,0.06018518518518523,0.25014911746804624,0.034544683395234005
2,6,0.2777777777777778,0.03703703703703709,0.17640944526042257,0.01318204138364541
2,7,0.1736111111111111,-0.10185185185185186,0.08935272045028143,0.024726463770096123
2,8,0.25,0.0,0.12974122651542006,0.0287844266896214
2,9,0.21875,-0.04166666666666674,0.11572739187418087,0.05222887224390717
3,1,0.6041666666666666,0.4722222222222222,0.5354992077267806,0.21464451143203853
3,2,0.2604166666666667,0.01388888888888884,0.160991785991786,0.07489479542261736
3,4,0.2638888888888889,0.01851851851851849,0.1331673124891845,0.036826578517151085
3,5,0.3055555555555556,0.07407407407407407,0.20600564679512048,0.0266235838483938
3,6,0.28125,0.04166666666666663,0.2213136883921998,0.08670524950678643
3,7,0.3402777777777778,0.12037037037037035,0.2603256975066076,0.22718963325522434
3,8,0.3958333333333333,0.19444444444444442,0.35213009513777727,0.15352064962378462
3,9,0.3090277777777778,0.07870370370370372,0.2022547772623576,0.27906236654738464
4,1,0.4375,0.25,0.3797137053228724,0.017933207336574893
4,2,0.2534722222222222,0.00462962962962965,0.11818181818181818,0.030926292604428012
4,3,0.3958333333333333,0.19444444444444442,0.34828556899495117,0.02602192787635766
4,5,0.2534722222222222,0.00462962962962965,0.10712786660052658,0.009640859418073163
4,6,0.3020833333333333,0.06944444444444442,0.2611764952331811,0.009181694209031253
4,7,0.3923611111111111,0.18981481481481477,0.3430116595595664,0.0047533240529240815
4,8,0.5486111111111112,0.39814814814814814,0.467759972165033,0.011752222457775104
4,9,0.3020833333333333,0.06944444444444442,0.19940598825454897,0.014958727144446635
5,1,0.3125,0.08333333333333337,0.27013525689996276,0.02630910614651468
5,2,0.2673611111111111,0.02314814814814814,0.2025818419502136,0.03874622747061142
5,3,0.25,0.0,0.10084033613445378,0.02624821866402428
5,4,0.3194444444444444,0.09259259259259256,0.21723777697229024,0.010495410180059986
5,6,0.2708333333333333,0.02777777777777779,0.19135867263344836,0.015913541837203705
5,7,0.34375,0.125,0.2653102212334693,0.035088515295750265
5,8,0.3611111111111111,0.14814814814814814,0.2783033829386745,0.01743592780334042
5,9,0.2743055555555556,0.03240740740740744,0.16447245564892624,0.02002237685230364
6,1,0.3333333333333333,0.11111111111111116,0.21490319083023543,0.034844824966381235
6,2,0.2638888888888889,0.01851851851851849,0.14421669677684906,0.009375551616235678
6,3,0.4618055555555556,0.28240740740740744,0.392306695574308,0.0726024146673404
6,4,0.3368055555555556,0.1157407407407407,0.26824960753532184,0.007073173995432847
6,5,0.25,0.0,0.1,0.011768776885202387
6,7,0.28125,0.04166666666666663,0.1774472838988968,0.02248666157350582
6,8,0.4375,0.25,0.310949410949411,0.011490400300712173
6,9,0.3854166666666667,0.18055555555555558,0.3328354158554859,0.04285374100656217
7,1,0.5069444444444444,0.34259259259259256,0.44646378483395055,0.2774684136954936
7,2,0.21180555555555555,-0.05092592592592582,0.15539583297744525,0.022234026449452198
7,3,0.4444444444444444,0.2592592592592593,0.4028839591989564,0.2835679719231985
7,4,0.2743055555555556,0.03240740740740744,0.2532495938007749,0.0065760971072616435
7,5,0.25,0.0,0.11307692307692309,0.038882300705644565
7,6,0.23958333333333334,-0.01388888888888884,0.13258964940614862,0.045431300942245664
7,8,0.3263888888888889,0.10185185185185186,0.23211265527721225,0.19263504509246918
7,9,0.3055555555555556,0.07407407407407407,0.20457040035987406,0.21011449275308128
8,1,0.5659722222222222,0.4212962962962963,0.494737312560772,0.1279703528958071
8,2,0.2048611111111111,-0.06018518518518512,0.14631856448263428,0.022840792269087112
8,3,0.5625,0.41666666666666663,0.5494717195696383,0.1434632853840012
8,4,0.3506944444444444,0.1342592592592593,0.29383877542941644,0.012107292607832677
8,5,0.2569444444444444,0.0092592592592593,0.17472949045839073,0.015452931899351718
8,6,0.3125,0.08333333333333337,0.2317910311584655,0.012539909523439996
8,7,0.2986111111111111,0.06481481481481477,0.2651686363950515,0.14728424069049542
8,9,0.4513888888888889,0.2685185185185185,0.4092187649535064,0.2780120787013076
9,1,0.3298611111111111,0.10648148148148151,0.2190071612146618,0.20598184124553623
9,2,0.25,0.0,0.1,0.03731135649749244
9,3,0.2986111111111111,0.06481481481481477,0.1814635074697878,0.28756339521873203
9,4,0.25,0.0,0.1,0.017174058685308535
9,5,0.25,0.0,0.1,0.02137039676413579
9,6,0.2673611111111111,0.02314814814814814,0.15263857033639144,0.05202638354507606
9,7,0.25,0.0,0.1,0.16626779679541065
9,8,0.3472222222222222,0.12962962962962965,0.26982287826071905,0.24150087938624637
