source,target,accuracy,kappa,f1_macro,cka,method
1,2,0.2534722222222222,0.00462962962962965,0.23458618807489331,0.009978799448436344,ra
1,3,0.625,0.5,0.6123055015282023,0.14224670858255536,ra
1,4,0.3472222222222222,0.12962962962962965,0.31832251905061126,0.011237913110040722,ra
1,5,0.3159722222222222,0.08796296296296291,0.27639354190033405,0.027896961160732654,ra
1,6,0.3055555555555556,0.07407407407407407,0.2925974200410074,0.016041289640999608,ra
1,7,0.4305555555555556,0.2407407407407407,0.42705928078089556,0.19280418304411043,ra
1,8,0.59375,0.45833333333333337,0.5977644858648152,0.1418904182952091,ra
1,9,0.4236111111111111,0.2314814814814815,0.4238158112791544,0.12920813794542235,ra
2,1,0.2951388888888889,0.06018518518518523,0.2681298224061382,0.025187355384321382,ra
2,3,0.1840277777777778,-0.08796296296296302,0.1624956534006865,0.020203274410175963,ra
2,4,0.375,0.16666666666666663,0.35432122056936144,0.06797627848215008,ra
2,5,0.2881944444444444,0.05092592592592593,0.2464716134928901,0.17815204282245004,ra
2,6,0.2881944444444444,0.05092592592592593,0.27893832637399874,0.014905199835925427,ra
2,7,0.12152777777777778,-0.17129629629629628,0.12295715312875172,0.02251696521441936,ra
2,8,0.3194444444444444,0.09259259259259256,0.25066584184046936,0.006632622448416534,ra
2,9,0.2708333333333333,0.02777777777777779,0.24259761008265554,0.02499363689177956,ra
3,1,0.5520833333333334,0.4027777777777778,0.5374426855897884,0.1215165219704579,ra
3,2,0.2048611111111111,-0.06018518518518512,0.20749715361333768,0.018071293809270104,ra
3,4,0.3611111111111111,0.14814814814814814,0.34701444640059087,0.040710175582157,ra
3,5,0.3090277777777778,0.07870370370370372,0.2920424735728603,0.030727253373086058,ra
3,6,0.3159722222222222,0.08796296296296291,0.3095892963604381,0.01825557191912579,ra
3,7,0.4513888888888889,0.2685185185185185,0.4193376358832673,0.12798165843373668,ra
3,8,0.5034722222222222,0.3379629629629629,0.5060923272787008,0.09688485707436854,ra
3,9,0.5659722222222222,0.4212962962962963,0.5655244134167048,0.09903347932855712,ra
4,1,0.4270833333333333,0.23611111111111116,0.3904152616764351,0.012786813935566707,ra
4,2,0.2569444444444444,0.0092592592592593,0.23667838952219256,0.051871364667930416,ra
4,3,0.3402777777777778,0.12037037037037035,0.3362060351718625,0.030408173194166464,ra
4,5,0.25,0.0,0.2189641961345322,0.042643651944883385,ra
4,6,0.2777777777777778,0.03703703703703709,0.28132728536597734,0.02442030020882039,ra
4,7,0.3298611111111111,0.10648148148148151,0.32196392569279103,0.02451992525081898,ra
4,8,0.4305555555555556,0.2407407407407407,0.41856084357229834,0.016941861206136267,ra
4,9,0.4340277777777778,0.24537037037037035,0.4302010656775295,0.03202632651100635,ra
5,1,0.2881944444444444,0.05092592592592593,0.2944219453041158,0.02915155862203758,ra
5,2,0.2604166666666667,0.01388888888888884,0.24865750777762402,0.1775740332233357,ra
5,3,0.3333333333333333,0.11111111111111116,0.2982327427094869,0.024853103136478902,ra
5,4,0.2916666666666667,0.05555555555555558,0.285992369255641,0.06201551588012834,ra
5,6,0.2048611111111111,-0.06018518518518512,0.20305826314220704,0.02947612355553672,ra
5,7,0.3194444444444444,0.09259259259259256,0.2956268965580538,0.0345549455035069,ra
5,8,0.3541666666666667,0.13888888888888884,0.3162835515497694,0.023326096612531124,ra
5,9,0.3159722222222222,0.08796296296296291,0.32195745263043285,0.027503778521013798,ra
6,1,0.5,0.33333333333333337,0.4739241972124465,0.0292092029400902,ra
6,2,0.2673611111111111,0.02314814814814814,0.23919885731620993,0.017251664114665447,ra
6,3,0.5208333333333334,0.36111111111111116,0.5163644947422953,0.03894991947543944,ra
6,4,0.4305555555555556,0.2407407407407407,0.4292730886135141,0.03412333750374562,ra
6,5,0.3194444444444444,0.09259259259259256,0.3172807863088361,0.02683139091907825,ra
6,7,0.3611111111111111,0.14814814814814814,0.34995465253399866,0.028096256242107754,ra
6,8,0.4409722222222222,0.25462962962962965,0.39093029276163493,0.02226535728463638,ra
6,9,0.3819444444444444,0.17592592592592593,0.3569550479819523,0.028164640351108567,ra
7,1,0.4756944444444444,0.30092592592592593,0.44568553941041167,0.23353530632603195,ra
7,2,0.16666666666666666,-0.11111111111111116,0.15156976368697106,0.021818178289911158,ra
7,3,0.5729166666666666,0.4305555555555556,0.5743671713526572,0.169358629080911,ra
7,4,0.2986111111111111,0.06481481481481477,0.29173641500635644,0.026293402227534343,ra
7,5,0.3055555555555556,0.07407407407407407,0.28413195860839513,0.037922929913064264,ra
7,6,0.2569444444444444,0.0092592592592593,0.251893405054509,0.015936135253804128,ra
7,8,0.4861111111111111,0.31481481481481477,0.4768640368326072,0.08382591896971446,ra
7,9,0.5486111111111112,0.39814814814814814,0.548130718734785,0.11102077646759807,ra
8,1,0.5381944444444444,0.3842592592592593,0.4892078326125505,0.1352479564080284,ra
8,2,0.2152777777777778,-0.04629629629629628,0.18011163975204328,0.006357921635300995,ra
8,3,0.4826388888888889,0.31018518518518523,0.4988136275064567,0.06620712518472327,ra
8,4,0.3923611111111111,0.18981481481481477,0.39331666236448115,0.016325029985754934,ra
8,5,0.3194444444444444,0.09259259259259256,0.3102070667481978,0.021092116102409117,ra
8,6,0.2708333333333333,0.02777777777777779,0.26890777809895455,0.01597448552009073,ra
8,7,0.3402777777777778,0.12037037037037035,0.322740146099457,0.031930808220117825,ra
8,9,0.5625,0.41666666666666663,0.5524786537663249,0.1323480803972139,ra
9,1,0.4965277777777778,0.3287037037037037,0.48604632029506983,0.1369117716199128,ra
9,2,0.2604166666666667,0.01388888888888884,0.21829025715956749,0.012947484727874655,ra
9,3,0.4965277777777778,0.3287037037037037,0.487031801990024,0.15065620792450157,ra
9,4,0.3333333333333333,0.11111111111111116,0.3353535711300686,0.0620010082462758,ra
9,5,0.3194444444444444,0.09259259259259256,0.3185803333091135,0.04054371903887406,ra
9,6,0.3333333333333333,0.11111111111111116,0.32062905330133656,0.02487131650252371,ra
9,7,0.4756944444444444,0.30092592592592593,0.4660116702119003,0.13507275054109183,ra
9,8,0.5173611111111112,0.3564814814814815,0.5214080998537165,0.18092544286640222,ra
