source,target,accuracy,kappa,f1_macro,cka,method
1,2,0.19444444444444445,-0.07407407407407418,0.15426210112798364,0.011831900646155736,koopman-noalign
1,3,0.4375,0.25,0.36827750657537894,0.04226365894547984,koopman-noalign
1,4,0.28125,0.04166666666666663,0.19559082892416224,0.008040072386987725,koopman-noalign
1,5,0.25,0.0,0.1,0.028912387059759164,koopman-noalign
1,6,0.25,0.0,0.12810599956047175,0.04793059696529474,koopman-noalign
1,7,0.5104166666666666,0.3472222222222222,0.430465595130816,0.07957813736246784,koopman-noalign
1,8,0.4166666666666667,0.2222222222222222,0.35422634626989735,0.03114620166214236,koopman-noalign
1,9,0.3888888888888889,0.18518518518518523,0.33447598908997817,0.12435848252072751,koopman-noalign
2,1,0.25,0.0,0.1,0.011500775423521844,koopman-noalign
2,3,0.11805555555555555,-0.17592592592592582,0.05379746835443038,0.0330131103366498,koopman-noalign
2,4,0.2881944444444444,0.05092592592592593,0.17148792121864903,0.041076884621413116,koopman-noalign
2,5,0.21875,-0.04166666666666674,0.09560219890054972,0.28390383515671347,koopman-noalign
2,6,0.25,0.0,0.10027855153203342,0.041740463204863555,koopman-noalign
2,7,0.14583333333333334,-0.13888888888888884,0.06885245901639345,0.005371250044457246,koopman-noalign
2,8,0.3125,0.08333333333333337,0.21123249730727806,0.009744013202306,koopman-noalign
2,9,0.2465277777777778,-0.004629629629629539,0.10230547550432277,0.04837959380503736,koopman-noalign
3,1,0.3958333333333333,0.19444444444444442,0.3286380072094358,0.055105740728906547,koopman-noalign
3,2,0.2152777777777778,-0.04629629629629628,0.14357369458972818,0.07693213140935937,koopman-noalign
3,4,0.19791666666666666,-0.06944444444444442,0.11807040730505827,0.007328460699155799,koopman-noalign
3,5,0.3090277777777778,0.07870370370370372,0.22654974834967676,0.025565724734224922,koopman-noalign
3,6,0.28125,0.04166666666666663,0.17469075550397362,0.019718021654672086,koopman-noalign
3,7,0.2777777777777778,0.03703703703703709,0.15431247339293316,0.0664955336566012,koopman-noalign
3,8,0.3020833333333333,0.06944444444444442,0.2045603429786361,0.09839384958139497,koopman-noalign
3,9,0.5069444444444444,0.34259259259259256,0.4705540488654683,0.06065151337121106,koopman-noalign
4,1,0.4513888888888889,0.2685185185185185,0.3860834781168735,0.0151525068630019,koopman-noalign
