source,target,accuracy,kappa,f1_macro,cka,method,method_key
1,2,0.2256944444444444,-0.0324074074074074,0.1562721764784978,0.013549971298807,Conservative Koopman aligner-r48,conservative-koopman-aligner-r48
1,3,0.5729166666666666,0.4305555555555556,0.5319900932400933,0.0510230760162229,Conservative Koopman aligner-r48,conservative-koopman-aligner-r48
1,4,0.3472222222222222,0.1296296296296296,0.3125086939751132,0.0124919612624221,Conservative Koopman aligner-r48,conservative-koopman-aligner-r48
1,5,0.3402777777777778,0.1203703703703703,0.2718330575473432,0.0341314422628389,Conservative Koopman aligner-r48,conservative-koopman-aligner-r48
1,6,0.34375,0.125,0.3261732346002009,0.0592375591346319,Conservative Koopman aligner-r48,conservative-koopman-aligner-r48
1,7,0.4861111111111111,0.3148148148148147,0.4567853296900279,0.0978193700851665,Conservative Koopman aligner-r48,conservative-koopman-aligner-r48
1,8,0.4861111111111111,0.3148148148148147,0.4643890055568518,0.0343699858241028,Conservative Koopman aligner-r48,conservative-koopman-aligner-r48
1,9,0.5104166666666666,0.3472222222222222,0.492244108096133,0.1302410691163398,Conservative Koopman aligner-r48,conservative-koopman-aligner-r48
2,1,0.1805555555555555,-0.0925925925925925,0.1416578371655878,0.0126384969843995,Conservative Koopman aligner-r48,conservative-koopman-aligner-r48
2,3,0.1076388888888889,-0.1898148148148148,0.0959323607733894,0.034517426603205,Conservative Koopman aligner-r48,conservative-koopman-aligner-r48
2,4,0.3090277777777778,0.0787037037037037,0.2658216084315456,0.0438320149043512,Conservative Koopman aligner-r48,conservative-koopman-aligner-r48
2,5,0.2569444444444444,0.0092592592592593,0.2257692761605035,0.2832822976845484,Conservative Koopman aligner-r48,conservative-koopman-aligner-r48
2,6,0.2013888888888889,-0.0648148148148148,0.1998512304863457,0.0421604966354433,Conservative Koopman aligner-r48,conservative-koopman-aligner-r48
2,7,0.1319444444444444,-0.1574074074074074,0.1325568036065395,0.0060877574212639,Conservative Koopman aligner-r48,conservative-koopman-aligner-r48
2,8,0.3333333333333333,0.1111111111111111,0.272705568819055,0.0110452238840665,Conservative Koopman aligner-r48,conservative-koopman-aligner-r48
2,9,0.15625,-0.125,0.1761999539806719,0.0498214942368635,Conservative Koopman aligner-r48,conservative-koopman-aligner-r48
3,1,0.5,0.3333333333333333,0.4778163526238672,0.0593990125911675,Conservative Koopman aligner-r48,conservative-koopman-aligner-r48
3,2,0.2777777777777778,0.037037037037037,0.2265911173813113,0.0775432494138567,Conservative Koopman aligner-r48,conservative-koopman-aligner-r48
3,4,0.2916666666666667,0.0555555555555555,0.2701085796457553,0.0096773570385801,Conservative Koopman aligner-r48,conservative-koopman-aligner-r48
3,5,0.2951388888888889,0.0601851851851852,0.265766108485681,0.0286197774281773,Conservative Koopman aligner-r48,conservative-koopman-aligner-r48
3,6,0.2847222222222222,0.0462962962962962,0.2595647355687152,0.0212276730733489,Conservative Koopman aligner-r48,conservative-koopman-aligner-r48
3,7,0.4444444444444444,0.2592592592592593,0.4180386715997181,0.0689711759927487,Conservative Koopman aligner-r48,conservative-koopman-aligner-r48
3,8,0.4583333333333333,0.2777777777777778,0.4387221664313577,0.1040866093200034,Conservative Koopman aligner-r48,conservative-koopman-aligner-r48
3,9,0.5416666666666666,0.3888888888888888,0.5082089139570891,0.0646629794300506,Conservative Koopman aligner-r48,conservative-koopman-aligner-r48
4,1,0.4097222222222222,0.2129629629629629,0.3945283628125675,0.0186395116986721,Conservative Koopman aligner-r48,conservative-koopman-aligner-r48
4,2,0.2604166666666667,0.0138888888888888,0.2358379524868461,0.0207974558083721,Conservative Koopman aligner-r48,conservative-koopman-aligner-r48
4,3,0.3576388888888889,0.1435185185185185,0.3315448469878237,0.0099573548215145,Conservative Koopman aligner-r48,conservative-koopman-aligner-r48
4,5,0.2465277777777778,-0.0046296296296295,0.2137369276502919,0.0162275528086195,Conservative Koopman aligner-r48,conservative-koopman-aligner-r48
4,6,0.3090277777777778,0.0787037037037037,0.3082987345667311,0.0137736908889965,Conservative Koopman aligner-r48,conservative-koopman-aligner-r48
4,7,0.3402777777777778,0.1203703703703703,0.320073786316013,0.0102670535145362,Conservative Koopman aligner-r48,conservative-koopman-aligner-r48
4,8,0.5,0.3333333333333333,0.4975003626118794,0.011262397411214,Conservative Koopman aligner-r48,conservative-koopman-aligner-r48
4,9,0.3993055555555556,0.199074074074074,0.3917874848977211,0.0163345044901606,Conservative Koopman aligner-r48,conservative-koopman-aligner-r48
5,1,0.2013888888888889,-0.0648148148148148,0.1886477911322631,0.0203210855874242,Conservative Koopman aligner-r48,conservative-koopman-aligner-r48
5,2,0.3194444444444444,0.0925925925925925,0.2935744810744811,0.2816678104554698,Conservative Koopman aligner-r48,conservative-koopman-aligner-r48
5,3,0.2395833333333333,-0.0138888888888888,0.2290301888127975,0.032375860218198,Conservative Koopman aligner-r48,conservative-koopman-aligner-r48
5,4,0.2534722222222222,0.0046296296296296,0.2119544890823808,0.018928465586819,Conservative Koopman aligner-r48,conservative-koopman-aligner-r48
5,6,0.2465277777777778,-0.0046296296296295,0.2414779169718216,0.060177988381402,Conservative Koopman aligner-r48,conservative-koopman-aligner-r48
5,7,0.125,-0.1666666666666667,0.120473906755907,0.013044600643619,Conservative Koopman aligner-r48,conservative-koopman-aligner-r48
5,8,0.15625,-0.125,0.1534594289800983,0.0123987572990501,Conservative Koopman aligner-r48,conservative-koopman-aligner-r48
5,9,0.1527777777777778,-0.1296296296296295,0.1568514146221565,0.0549140625983859,Conservative Koopman aligner-r48,conservative-koopman-aligner-r48
6,1,0.4027777777777778,0.2037037037037037,0.40638520570838,0.0318144111441062,Conservative Koopman aligner-r48,conservative-koopman-aligner-r48
6,2,0.2604166666666667,0.0138888888888888,0.2098179812465526,0.0180836929998449,Conservative Koopman aligner-r48,conservative-koopman-aligner-r48
6,3,0.3125,0.0833333333333333,0.2754142783251885,0.0156337520571517,Conservative Koopman aligner-r48,conservative-koopman-aligner-r48
6,4,0.3020833333333333,0.0694444444444444,0.2968783573113068,0.0183103893106749,Conservative Koopman aligner-r48,conservative-koopman-aligner-r48
6,5,0.2916666666666667,0.0555555555555555,0.2029072398190045,0.0265752502931782,Conservative Koopman aligner-r48,conservative-koopman-aligner-r48
6,7,0.2916666666666667,0.0555555555555555,0.2981363957137352,0.0411625531932074,Conservative Koopman aligner-r48,conservative-koopman-aligner-r48
6,8,0.2673611111111111,0.0231481481481481,0.2452677063201669,0.0109279216928391,Conservative Koopman aligner-r48,conservative-koopman-aligner-r48
6,9,0.34375,0.125,0.2858806963645673,0.0280501392297192,Conservative Koopman aligner-r48,conservative-koopman-aligner-r48
7,1,0.4756944444444444,0.3009259259259259,0.4197970175445796,0.1226936218549626,Conservative Koopman aligner-r48,conservative-koopman-aligner-r48
7,2,0.2395833333333333,-0.0138888888888888,0.1822893512897622,0.0243127460801777,Conservative Koopman aligner-r48,conservative-koopman-aligner-r48
7,3,0.5416666666666666,0.3888888888888888,0.5258431609601255,0.0609918169721723,Conservative Koopman aligner-r48,conservative-koopman-aligner-r48
7,4,0.2743055555555556,0.0324074074074074,0.2750925744955859,0.0132396216169479,Conservative Koopman aligner-r48,conservative-koopman-aligner-r48
