target,method,corr_ra_vs_accuracy_spearman,corr_ra_vs_cka_spearman,corr_accuracy_vs_cka_spearman,pairwise_accuracy_mean
1,Conservative Koopman aligner-r48 (original pairwise),0.5714285714285715,0.523809523809524,0.6428571428571429,0.36371527777777773
2,Conservative Koopman aligner-r48 (original pairwise),0.5060240963855421,0.04790505047653036,0.7784570702436183,0.2721354166666667
3,Conservative Koopman aligner-r48 (original pairwise),0.880952380952381,0.4047619047619048,0.28571428571428575,0.35416666666666663
4,Conservative Koopman aligner-r48 (original pairwise),0.7380952380952381,0.0,-0.2380952380952381,0.3051215277777778
5,Conservative Koopman aligner-r48 (original pairwise),0.36816052025536194,0.3415650255319867,-0.08383383833392813,0.28515625
6,Conservative Koopman aligner-r48 (original pairwise),0.132539740495767,-0.07142857142857144,-0.28917761562712796,0.2821180555555556
7,Conservative Koopman aligner-r48 (original pairwise),0.8095238095238096,0.7142857142857144,0.6904761904761906,0.3051215277777778
8,Conservative Koopman aligner-r48 (original pairwise),0.38095238095238104,0.6190476190476191,0.4047619047619048,0.3806423611111111
9,Conservative Koopman aligner-r48 (original pairwise),0.9285714285714287,0.4523809523809524,0.6190476190476191,0.3997395833333333
1,Conservative Koopman aligner-r48 (target-global refresh),0.7425282823862205,0.7142857142857144,0.8263621207201486,0.3819444444444444
2,Conservative Koopman aligner-r48 (target-global refresh),0.6107893935757621,0.47905050476530353,0.5714285714285715,0.2508680555555556
3,Conservative Koopman aligner-r48 (target-global refresh),0.7857142857142858,0.523809523809524,0.38095238095238104,0.35807291666666663
4,Conservative Koopman aligner-r48 (target-global refresh),0.9523809523809524,0.261904761904762,0.3333333333333334,0.3003472222222222
5,Conservative Koopman aligner-r48 (target-global refresh),-0.049088069367381595,-0.17078251276599335,-0.27545404024004955,0.2738715277777778
6,Conservative Koopman aligner-r48 (target-global refresh),-0.08383383833392813,-0.023809523809523815,-0.26347777762091695,0.2751736111111111
7,Conservative Koopman aligner-r48 (target-global refresh),0.5000000000000001,0.5952380952380953,0.5000000000000001,0.26953125
8,Conservative Koopman aligner-r48 (target-global refresh),0.5476190476190477,0.7619047619047621,0.5714285714285715,0.36111111111111116
9,Conservative Koopman aligner-r48 (target-global refresh),0.8333333333333335,0.4761904761904762,0.09523809523809526,0.41666666666666663
1,RBID-aware Conservative Koopman aligner-r48,0.9047619047619048,0.7142857142857144,0.7380952380952381,0.3537326388888889
2,RBID-aware Conservative Koopman aligner-r48,0.6626506024096386,0.47905050476530353,0.6467181814331598,0.26432291666666663
3,RBID-aware Conservative Koopman aligner-r48,0.7857142857142858,0.523809523809524,0.5714285714285715,0.3702256944444445
4,RBID-aware Conservative Koopman aligner-r48,0.9047619047619048,0.261904761904762,0.1666666666666667,0.2864583333333333
5,RBID-aware Conservative Koopman aligner-r48,-0.2699843815205988,-0.21957751641341997,-0.29940656547831473,0.27126736111111116
6,RBID-aware Conservative Koopman aligner-r48,-0.1197626261913259,-0.023809523809523815,-0.22754898976351917,0.2708333333333333
7,RBID-aware Conservative Koopman aligner-r48,0.6190476190476191,0.5952380952380953,0.5000000000000001,0.2686631944444444
8,RBID-aware Conservative Koopman aligner-r48,0.19047619047619052,0.7619047619047621,0.11904761904761905,0.3350694444444444
9,RBID-aware Conservative Koopman aligner-r48,0.8333333333333335,0.4761904761904762,0.09523809523809526,0.4131944444444444
