window_size,w,accuracy_mean,accuracy_std
16,1.0,0.40933641975308643,0.1438297010965538
16,0.75,0.396604938271605,0.1441576364503382
16,0.5,0.3861882716049383,0.133937093513565
16,0.25,0.37808641975308643,0.12417072097877263
16,0.0,0.3622685185185185,0.11414848040470667
32,1.0,0.40933641975308643,0.1438297010965538
32,0.75,0.396604938271605,0.1441576364503382
32,0.5,0.3861882716049383,0.133937093513565
32,0.25,0.37808641975308643,0.12417072097877263
32,0.0,0.3622685185185185,0.11414848040470667
48,1.0,0.40933641975308643,0.1438297010965538
48,0.75,0.396604938271605,0.1441576364503382
48,0.5,0.3861882716049383,0.133937093513565
48,0.25,0.37808641975308643,0.12417072097877263
48,0.0,0.3622685185185185,0.11414848040470667
