method,target_subject,accuracy,kappa,f1_macro
ksda-static,1,0.3541666666666667,0.13888888888888884,0.3397398078814008
ksda-static,2,0.2673611111111111,0.02314814814814814,0.17056741277699794
ksda-static,3,0.3576388888888889,0.1435185185185185,0.32467159277504104
ksda-static,4,0.3611111111111111,0.14814814814814814,0.31658143261019933
ksda-static,5,0.25,0.0,0.23258762531901364
ksda-static,6,0.3020833333333333,0.06944444444444442,0.2840673511241362
ksda-static,7,0.4479166666666667,0.26388888888888884,0.455098956541681
ksda-static,8,0.3993055555555556,0.19907407407407407,0.3794612768072484
ksda-static,9,0.3993055555555556,0.19907407407407407,0.3989324192373891
ksda-geometric-gate,1,0.6145833333333334,0.48611111111111116,0.5321576615208691
ksda-geometric-gate,2,0.23958333333333334,-0.01388888888888884,0.18874764121146242
ksda-geometric-gate,3,0.4583333333333333,0.2777777777777778,0.4293432982112227
ksda-geometric-gate,4,0.3576388888888889,0.1435185185185185,0.30976591208921633
ksda-geometric-gate,5,0.2743055555555556,0.03240740740740744,0.2334152202118672
ksda-geometric-gate,6,0.3298611111111111,0.10648148148148151,0.2843855721081485
ksda-geometric-gate,7,0.3090277777777778,0.07870370370370372,0.2739413150400539
ksda-geometric-gate,8,0.46875,0.29166666666666663,0.45772345017300514
ksda-geometric-gate,9,0.4548611111111111,0.27314814814814814,0.4594163123655462
ksda-kcar-gate,1,0.4722222222222222,0.2962962962962963,0.432362396405592
ksda-kcar-gate,2,0.2673611111111111,0.02314814814814814,0.18559333234660996
ksda-kcar-gate,3,0.3923611111111111,0.18981481481481477,0.35798605039731113
ksda-kcar-gate,4,0.3576388888888889,0.1435185185185185,0.30896334172242607
ksda-kcar-gate,5,0.2708333333333333,0.02777777777777779,0.24130454389703332
ksda-kcar-gate,6,0.3055555555555556,0.07407407407407407,0.26750111934940085
ksda-kcar-gate,7,0.4270833333333333,0.23611111111111116,0.42828087186441216
ksda-kcar-gate,8,0.4340277777777778,0.24537037037037035,0.4184582333254258
ksda-kcar-gate,9,0.5486111111111112,0.39814814814814814,0.5466180371352786
fixed_w=0.5,1,0.5069444444444444,0.34259259259259256,0.45508799802261696
fixed_w=0.5,2,0.2604166666666667,0.01388888888888884,0.19869191521419033
fixed_w=0.5,3,0.40625,0.20833333333333337,0.37742373456659173
fixed_w=0.5,4,0.3576388888888889,0.1435185185185185,0.30869257205319295
fixed_w=0.5,5,0.2847222222222222,0.04629629629629628,0.22875450211611395
fixed_w=0.5,6,0.3229166666666667,0.09722222222222221,0.26714445748005494
fixed_w=0.5,7,0.4131944444444444,0.21759259259259256,0.41049318668887896
fixed_w=0.5,8,0.4513888888888889,0.2685185185185185,0.44126949669388127
fixed_w=0.5,9,0.5729166666666666,0.4305555555555556,0.5578149811466293
