target_subject,trial_index,window_id,teacher_action_idx,teacher_action_name,window_oracle_action_idx,window_oracle_action_name,y_true,best_single_pred,trialized_oracle_pred,window_oracle_pred
1,0,0,0,A0_identity,5,P2_diag_scaling_a067,0,2,2,2
1,1,0,0,A0_identity,5,P2_diag_scaling_a067,1,1,1,1
1,2,0,0,A0_identity,5,P2_diag_scaling_a067,1,0,2,0
1,3,0,0,A0_identity,5,P2_diag_scaling_a067,0,0,0,0
1,4,0,0,A0_identity,5,P2_diag_scaling_a067,1,1,1,1
1,5,0,0,A0_identity,5,P2_diag_scaling_a067,0,0,2,0
1,6,0,0,A0_identity,5,P2_diag_scaling_a067,1,1,1,1
1,7,0,0,A0_identity,5,P2_diag_scaling_a067,2,2,2,2
1,8,0,0,A0_identity,5,P2_diag_scaling_a067,1,1,1,1
1,9,0,0,A0_identity,5,P2_diag_scaling_a067,3,2,2,2
1,10,0,0,A0_identity,5,P2_diag_scaling_a067,0,0,0,0
1,11,0,0,A0_identity,5,P2_diag_scaling_a067,2,2,2,2
1,12,0,0,A0_identity,5,P2_diag_scaling_a067,1,1,1,1
1,13,0,0,A0_identity,5,P2_diag_scaling_a067,0,0,2,0
1,14,0,0,A0_identity,5,P2_diag_scaling_a067,3,1,1,1
1,15,0,0,A0_identity,5,P2_diag_scaling_a067,3,3,2,3
1,16,1,5,P2_diag_scaling_a067,3,P1_mean_shift_a100,3,3,2,2
1,17,1,5,P2_diag_scaling_a067,3,P1_mean_shift_a100,3,2,2,2
1,18,1,5,P2_diag_scaling_a067,3,P1_mean_shift_a100,3,2,2,2
1,19,1,5,P2_diag_scaling_a067,3,P1_mean_shift_a100,0,0,0,0
1,20,1,5,P2_diag_scaling_a067,3,P1_mean_shift_a100,2,0,0,2
1,21,1,5,P2_diag_scaling_a067,3,P1_mean_shift_a100,1,1,1,1
1,22,1,5,P2_diag_scaling_a067,3,P1_mean_shift_a100,0,0,0,0
1,23,1,5,P2_diag_scaling_a067,3,P1_mean_shift_a100,0,0,0,0
1,24,1,5,P2_diag_scaling_a067,3,P1_mean_shift_a100,2,3,2,2
1,25,1,5,P2_diag_scaling_a067,3,P1_mean_shift_a100,3,3,3,3
1,26,1,5,P2_diag_scaling_a067,3,P1_mean_shift_a100,0,0,0,0
1,27,1,5,P2_diag_scaling_a067,3,P1_mean_shift_a100,2,2,2,2
1,28,1,5,P2_diag_scaling_a067,3,P1_mean_shift_a100,2,3,2,2
