action,mean_transform_delta,relative_transform_delta
P1_mean_shift_a033,1.009559778742742,0.15545065522279586
P3_low_rank_affine_a033,1.4587376399038638,0.20650852614291149
P1_mean_shift_a067,2.049712278053446,0.31561193636143403
P2_diag_scaling_a033,2.0772846984413977,0.320397090095141
P4_supervised_subspace_a033,2.4715442811830557,0.3804873928125312
P3_low_rank_affine_a067,2.961679450713906,0.41927488641136573
P1_mean_shift_a100,3.0592720567961877,0.47106259158422986
P3_low_rank_affine_a100,4.420417090617769,0.6257834125542772
P2_diag_scaling_a067,4.217517418047687,0.6505031829204377
P4_supervised_subspace_a067,5.017983843614083,0.7725047066193814
P2_diag_scaling_a100,6.294802116489084,0.9709002730155787
P4_supervised_subspace_a100,7.489528124797137,1.1529920994319125
