target_subject,window_id,oracle_action,k_rbid,k_rbid_pos,k_rbid_neg,oracle_gain
1,0,P2_diag_scaling_a067,0.4743589743589744,0.2371794871794872,0.23717948717948717,0.0
1,1,P1_mean_shift_a100,0.2948717948717949,0.14743589743589744,0.1474358974358974,0.1875
1,2,A0_identity,0.2692307692307692,0.13461538461538458,0.1346153846153846,0.0625
1,3,P2_diag_scaling_a100,0.3589743589743589,0.1794871794871795,0.17948717948717946,0.0
1,4,P2_diag_scaling_a100,0.34615384615384615,0.17307692307692304,0.17307692307692307,0.0
1,5,P2_diag_scaling_a100,0.39743589743589747,0.1987179487179487,0.1987179487179487,0.0
1,6,P1_mean_shift_a033,0.24358974358974358,0.12179487179487179,0.12179487179487178,0.125
1,7,P2_diag_scaling_a100,0.5128205128205129,0.2564102564102564,0.2564102564102564,0.0
1,8,P2_diag_scaling_a100,0.5256410256410257,0.26282051282051283,0.26282051282051283,0.0
1,9,P3_low_rank_affine_a100,0.3461538461538461,0.17307692307692307,0.17307692307692307,0.1875
1,10,A0_identity,0.28205128205128205,0.14102564102564102,0.141025641025641,0.0
1,11,A0_identity,0.37179487179487175,0.18589743589743588,0.18589743589743588,0.125
1,12,P2_diag_scaling_a033,0.20512820512820512,0.10256410256410257,0.10256410256410256,0.1875
1,13,P3_low_rank_affine_a033,0.37179487179487175,0.18589743589743588,0.18589743589743588,0.0625
1,14,P1_mean_shift_a100,0.4487179487179487,0.2243589743589743,0.22435897435897434,0.1875
1,15,A0_identity,0.3974358974358974,0.1987179487179487,0.1987179487179487,0.0625
1,16,P2_diag_scaling_a100,0.43589743589743585,0.21794871794871795,0.21794871794871792,0.0
1,17,A0_identity,0.4358974358974359,0.21794871794871795,0.21794871794871795,0.0
2,0,P4_supervised_subspace_a100,0.48717948717948717,0.2435897435897436,0.24358974358974358,0.125
2,1,P2_diag_scaling_a100,0.4615384615384617,0.23076923076923078,0.23076923076923078,0.0
2,2,P3_low_rank_affine_a067,0.5128205128205129,0.2564102564102564,0.2564102564102564,0.1875
2,3,P4_supervised_subspace_a033,0.37179487179487175,0.18589743589743588,0.18589743589743588,0.125
2,4,P2_diag_scaling_a100,0.4743589743589744,0.23717948717948723,0.2371794871794872,0.0
2,5,P3_low_rank_affine_a100,0.4487179487179488,0.2243589743589744,0.2243589743589744,0.0625
2,6,A0_identity,0.4487179487179487,0.22435897435897434,0.2243589743589744,0.0
2,7,P2_diag_scaling_a067,0.25641025641025644,0.1282051282051282,0.1282051282051282,0.0
2,8,P2_diag_scaling_a067,0.19230769230769232,0.09615384615384613,0.09615384615384616,0.0
2,9,A0_identity,0.3846153846153845,0.19230769230769232,0.19230769230769232,0.125
2,10,P3_low_rank_affine_a033,0.4871794871794871,0.24358974358974358,0.24358974358974358,0.0625
2,11,A0_identity,0.4230769230769231,0.2115384615384615,0.21153846153846154,0.0625
2,12,P2_diag_scaling_a067,0.28205128205128205,0.14102564102564102,0.14102564102564102,0.0
2,13,P2_diag_scaling_a100,0.358974358974359,0.17948717948717946,0.17948717948717946,0.0
2,14,P4_supervised_subspace_a033,0.48717948717948717,0.24358974358974356,0.2435897435897436,0.0625
2,15,P2_diag_scaling_a100,0.34615384615384615,0.1730769230769231,0.17307692307692307,0.0
2,16,P2_diag_scaling_a067,0.4743589743589744,0.23717948717948717,0.23717948717948717,0.0
2,17,P4_supervised_subspace_a033,0.4102564102564102,0.20512820512820512,0.20512820512820512,0.1875
3,0,P1_mean_shift_a033,0.47435897435897434,0.2371794871794872,0.23717948717948717,0.0625
3,1,P1_mean_shift_a100,0.5256410256410257,0.26282051282051283,0.26282051282051283,0.1875
3,2,P1_mean_shift_a067,0.5384615384615384,0.2692307692307692,0.2692307692307692,0.0
3,3,P2_diag_scaling_a067,0.5384615384615384,0.2692307692307692,0.2692307692307692,0.0
3,4,P1_mean_shift_a067,0.47435897435897434,0.23717948717948717,0.23717948717948717,0.0625
3,5,A0_identity,0.43589743589743585,0.21794871794871792,0.21794871794871792,0.0
3,6,P2_diag_scaling_a100,0.5384615384615384,0.2692307692307692,0.2692307692307692,0.0
3,7,P2_diag_scaling_a100,0.5256410256410257,0.26282051282051283,0.2628205128205128,0.0
3,8,P2_diag_scaling_a067,0.46153846153846156,0.23076923076923078,0.23076923076923078,0.0
3,9,P2_diag_scaling_a100,0.47435897435897434,0.23717948717948717,0.23717948717948717,0.0
3,10,P2_diag_scaling_a100,0.5384615384615383,0.2692307692307692,0.2692307692307692,0.0
3,11,P2_diag_scaling_a100,0.4871794871794873,0.24358974358974356,0.24358974358974358,0.0
3,12,P2_diag_scaling_a067,0.47435897435897434,0.23717948717948717,0.23717948717948717,0.0
3,13,P1_mean_shift_a033,0.4487179487179486,0.2243589743589743,0.2243589743589744,0.0
3,14,P2_diag_scaling_a100,0.5,0.25,0.25,0.0
3,15,P2_diag_scaling_a100,0.282051282051282,0.14102564102564102,0.141025641025641,0.0
3,16,P1_mean_shift_a033,0.28205128205128205,0.14102564102564102,0.14102564102564102,0.0625
3,17,P2_diag_scaling_a067,0.49999999999999994,0.25,0.24999999999999997,0.0625
4,0,A0_identity,0.46153846153846156,0.23076923076923073,0.23076923076923073,0.0
4,1,P3_low_rank_affine_a067,0.25641025641025644,0.1282051282051282,0.1282051282051282,0.0625
4,2,P1_mean_shift_a100,0.4358974358974358,0.21794871794871792,0.21794871794871795,0.125
4,3,P1_mean_shift_a100,0.4102564102564102,0.20512820512820512,0.20512820512820512,0.0625
4,4,P1_mean_shift_a100,0.3589743589743589,0.1794871794871795,0.17948717948717954,0.0625
4,5,P3_low_rank_affine_a033,0.42307692307692313,0.21153846153846154,0.21153846153846154,0.125
4,6,P1_mean_shift_a033,0.3974358974358974,0.19871794871794873,0.1987179487179487,0.0
4,7,P1_mean_shift_a100,0.41025641025641024,0.20512820512820512,0.20512820512820512,0.0
4,8,P1_mean_shift_a067,0.4358974358974359,0.21794871794871792,0.21794871794871792,0.0
4,9,P3_low_rank_affine_a033,0.3205128205128205,0.16025641025641024,0.16025641025641024,0.0625
4,10,P1_mean_shift_a100,0.3589743589743589,0.17948717948717946,0.1794871794871795,0.0625
4,11,P1_mean_shift_a100,0.4487179487179488,0.22435897435897434,0.2243589743589743,0.0
4,12,P2_diag_scaling_a067,0.46153846153846156,0.23076923076923078,0.23076923076923073,0.0
4,13,P1_mean_shift_a100,0.46153846153846145,0.23076923076923078,0.23076923076923078,0.0625
4,14,P1_mean_shift_a100,0.3974358974358974,0.19871794871794873,0.1987179487179487,0.0
4,15,A0_identity,0.34615384615384615,0.17307692307692307,0.17307692307692307,0.1875
4,16,P1_mean_shift_a100,0.37179487179487175,0.18589743589743588,0.18589743589743588,0.0625
4,17,P1_mean_shift_a067,0.4615384615384616,0.23076923076923078,0.23076923076923073,0.0
5,0,P1_mean_shift_a033,0.3846153846153847,0.19230769230769226,0.19230769230769226,0.1875
5,1,P2_diag_scaling_a100,0.28205128205128205,0.14102564102564102,0.14102564102564102,0.0
5,2,P1_mean_shift_a100,0.5384615384615384,0.2692307692307692,0.2692307692307692,0.0625
5,3,A0_identity,0.3846153846153845,0.19230769230769232,0.19230769230769232,0.0625
5,4,P1_mean_shift_a100,0.23076923076923078,0.11538461538461539,0.11538461538461539,0.1875
5,5,P2_diag_scaling_a100,0.5384615384615384,0.2692307692307692,0.2692307692307692,0.0
5,6,A0_identity,0.3717948717948717,0.18589743589743588,0.18589743589743593,0.1875
