target_subject,method,accuracy,kappa,f1_macro,w_mean,w_std
1,w=0.0,0.5208333333333334,0.36111111111111116,0.45805481338432447,0.0,0.0
1,w=0.5,0.5347222222222222,0.37962962962962965,0.49558704035654394,0.5,0.0
1,w=1.0,0.5520833333333334,0.4027777777777778,0.5315317711985731,1.0,0.0
1,conditional_only,0.5208333333333334,0.36111111111111116,0.4738356930898631,0.3704199892295495,0.09753037972544194
1,feedback_only(w=0.5),0.53125,0.375,0.4947599455142559,0.5502316768044901,0.038937631589924686
1,dca_bgf(full),0.5277777777777778,0.37037037037037035,0.48311660168611736,0.4091933338022036,0.1114165349453811
2,w=0.0,0.24305555555555555,-0.0092592592592593,0.2068542353986509,0.0,0.0
2,w=0.5,0.2326388888888889,-0.02314814814814814,0.20822858822529913,0.5,0.0
2,w=1.0,0.21875,-0.04166666666666674,0.2054118246176451,1.0,0.0
2,conditional_only,0.23958333333333334,-0.01388888888888884,0.21147047035862113,0.4659316634434766,0.19776602167382507
2,feedback_only(w=0.5),0.22569444444444445,-0.03240740740740744,0.2022215277697233,0.5818287037037037,0.03305345520698994
2,dca_bgf(full),0.24305555555555555,-0.0092592592592593,0.21536483006554713,0.5461978671471803,0.1858098287156774
3,w=0.0,0.4583333333333333,0.2777777777777778,0.4414147144251721,0.0,0.0
3,w=0.5,0.6145833333333334,0.48611111111111116,0.6157095472788904,0.5,0.0
3,w=1.0,0.6527777777777778,0.537037037037037,0.647566895195117,1.0,0.0
3,conditional_only,0.5798611111111112,0.43981481481481477,0.5827796719320503,0.3384994264957009,0.08788629648377139
3,feedback_only(w=0.5),0.6215277777777778,0.49537037037037035,0.6190159009099117,0.5620488635693999,0.03945239519176808
3,dca_bgf(full),0.5868055555555556,0.44907407407407407,0.589021636319456,0.39047882662319044,0.08586909300711343
4,w=0.0,0.3368055555555556,0.1157407407407407,0.258372465712582,0.0,0.0
4,w=0.5,0.3611111111111111,0.14814814814814814,0.2963124222754164,0.5,0.0
4,w=1.0,0.3854166666666667,0.18055555555555558,0.3593041620215533,1.0,0.0
4,conditional_only,0.3576388888888889,0.1435185185185185,0.2803654320219431,0.22083587062165552,0.05052014165101593
4,feedback_only(w=0.5),0.3715277777777778,0.1620370370370371,0.3182488364834839,0.5908565320423123,0.024326951276127273
4,dca_bgf(full),0.3645833333333333,0.1527777777777778,0.29193135482040916,0.3019723929206212,0.06451251101185522
5,w=0.0,0.2777777777777778,0.03703703703703709,0.1677613194663305,0.0,0.0
5,w=0.5,0.3194444444444444,0.09259259259259256,0.2643998708607078,0.5,0.0
5,w=1.0,0.3298611111111111,0.10648148148148151,0.3250811876926125,1.0,0.0
5,conditional_only,0.3090277777777778,0.07870370370370372,0.30816461659335725,0.9413523051465589,0.02466625882218199
5,feedback_only(w=0.5),0.3194444444444444,0.09259259259259256,0.2825306072367201,0.5648148148148149,0.04043093006597052
5,dca_bgf(full),0.3263888888888889,0.10185185185185186,0.32197527461834496,0.9942541416816992,0.025239671514687888
6,w=0.0,0.2465277777777778,-0.004629629629629539,0.18136218988209424,0.0,0.0
6,w=0.5,0.28125,0.04166666666666663,0.27071829275663317,0.5,0.0
6,w=1.0,0.3541666666666667,0.13888888888888884,0.3335752118905524,1.0,0.0
6,conditional_only,0.2673611111111111,0.02314814814814814,0.2512715461361691,0.45993985011378086,0.10036323773400148
6,feedback_only(w=0.5),0.2951388888888889,0.06018518518518523,0.29282134544153154,0.5908572892263217,0.02291843772584432
6,dca_bgf(full),0.2708333333333333,0.02777777777777779,0.2683658796871779,0.5487129982619291,0.11461264293672736
7,w=0.0,0.3611111111111111,0.14814814814814814,0.3110040312421265,0.0,0.0
7,w=0.5,0.3958333333333333,0.19444444444444442,0.3772496896218692,0.5,0.0
7,w=1.0,0.3888888888888889,0.18518518518518523,0.3704520123529519,1.0,0.0
7,conditional_only,0.375,0.16666666666666663,0.3425587703638307,0.15943059462727163,0.04327123096767715
7,feedback_only(w=0.5),0.3993055555555556,0.19907407407407407,0.3842535595425769,0.5952082175925926,0.01961544474466701
7,dca_bgf(full),0.3888888888888889,0.18518518518518523,0.35732697675982916,0.25463881221986423,0.05263915930694824
8,w=0.0,0.5243055555555556,0.3657407407407407,0.49254290004850365,0.0,0.0
8,w=0.5,0.5520833333333334,0.4027777777777778,0.5073416544971626,0.5,0.0
8,w=1.0,0.5451388888888888,0.3935185185185185,0.4788423039550277,1.0,0.0
8,conditional_only,0.5520833333333334,0.4027777777777778,0.506934164785096,0.5932839923525782,0.09971136390808581
8,feedback_only(w=0.5),0.5555555555555556,0.40740740740740744,0.5093491417967274,0.5551244636586298,0.03576223127689266
8,dca_bgf(full),0.5590277777777778,0.4120370370370371,0.5127134228696035,0.6489433010136386,0.11149115031583018
9,w=0.0,0.4652777777777778,0.2870370370370371,0.4656545218337196,0.0,0.0
9,w=0.5,0.4444444444444444,0.2592592592592593,0.45998623669818484,0.5,0.0
9,w=1.0,0.4201388888888889,0.22685185185185186,0.4262923548756605,1.0,0.0
9,conditional_only,0.4201388888888889,0.22685185185185186,0.4264887347411848,0.9499411059749805,0.10078818530268598
9,feedback_only(w=0.5),0.4513888888888889,0.2685185185185185,0.46605380817039976,0.52237498224736,0.028971944782128087
9,dca_bgf(full),0.4201388888888889,0.22685185185185186,0.4264887347411848,0.958757092662873,0.10308925240190946
