source,target,accuracy,cka
1,1,0.7291666666666666,1.0
1,2,0.22916666666666666,0.02006618749796936
1,3,0.5173611111111112,0.20302941772086575
1,4,0.3506944444444444,0.02040267882928533
1,5,0.2777777777777778,0.03399222977473101
1,6,0.2881944444444444,0.03912223258535296
1,7,0.4583333333333333,0.25652584760714686
1,8,0.3125,0.14061803237251785
1,9,0.4201388888888889,0.22375154672218694
2,1,0.3090277777777778,0.036808749816143724
2,2,0.5347222222222222,1.0
2,3,0.1701388888888889,0.09762756240211336
2,4,0.3402777777777778,0.03846470449085161
2,5,0.2673611111111111,0.03456204973408748
2,6,0.2916666666666667,0.014794669850130542
2,7,0.13541666666666666,0.03455364071562487
2,8,0.2569444444444444,0.029065283944108608
2,9,0.2361111111111111,0.05374259582752796
3,1,0.5798611111111112,0.2048263318956463
3,2,0.21875,0.07183154991238301
3,3,0.7604166666666666,0.9999999999999999
3,4,0.3125,0.035173345390632625
3,5,0.2847222222222222,0.028456967980748805
3,6,0.3020833333333333,0.04434845444163934
3,7,0.3611111111111111,0.2297089180893782
3,8,0.4201388888888889,0.151427060310143
3,9,0.4479166666666667,0.2731159521463083
4,1,0.4791666666666667,0.01587563891766574
4,2,0.22916666666666666,0.02816725567442841
4,3,0.3125,0.02904919941899447
4,4,0.5243055555555556,0.9999999999999999
4,5,0.2569444444444444,0.007630904762175717
4,6,0.2708333333333333,0.010369448326080617
4,7,0.3854166666666667,0.004903323397132827
4,8,0.3784722222222222,0.00999665454127323
4,9,0.3888888888888889,0.012180197132766057
5,1,0.2986111111111111,0.029588352919790152
5,2,0.25,0.03863834107921135
5,3,0.2708333333333333,0.027540660809870634
5,4,0.2673611111111111,0.012663348886008483
5,5,0.3819444444444444,0.9999999999999999
5,6,0.2048611111111111,0.017861954787992684
5,7,0.2986111111111111,0.029812364194467564
5,8,0.3194444444444444,0.019277910126591226
5,9,0.22916666666666666,0.02270839796896301
6,1,0.4305555555555556,0.04103706300049177
6,2,0.2465277777777778,0.01042056897103236
6,3,0.6145833333333334,0.072180807527908
6,4,0.3854166666666667,0.008491651431388842
6,5,0.2743055555555556,0.017290773723096214
6,6,0.4305555555555556,1.0
6,7,0.3333333333333333,0.03251588922816387
6,8,0.4791666666666667,0.012907121633741869
6,9,0.4652777777777778,0.0386370545656442
7,1,0.4791666666666667,0.27848867165908464
7,2,0.1736111111111111,0.020268685265810188
7,3,0.4652777777777778,0.28440057148879105
7,4,0.3125,0.0074626826013239125
7,5,0.2916666666666667,0.042795015454056576
7,6,0.2534722222222222,0.04410870411474048
7,7,0.6736111111111112,1.0
7,8,0.3090277777777778,0.20369502696737998
7,9,0.4305555555555556,0.21074091740195033
8,1,0.4895833333333333,0.131750914809489
8,2,0.2604166666666667,0.021409651637234163
8,3,0.5868055555555556,0.15334831094766593
8,4,0.3402777777777778,0.01246566331524388
8,5,0.2638888888888889,0.01433890478179563
8,6,0.3368055555555556,0.013671972455267193
8,7,0.3368055555555556,0.14752710873436312
8,8,0.7222222222222222,1.0000000000000002
8,9,0.6180555555555556,0.27134568611046633
9,1,0.4583333333333333,0.22072687758307472
9,2,0.2569444444444444,0.03553859648783832
9,3,0.4861111111111111,0.282617079026739
9,4,0.28125,0.020302351412032325
9,5,0.28125,0.027583671506584913
9,6,0.2777777777777778,0.053272071773455235
9,7,0.3819444444444444,0.1848817552264107
9,8,0.4618055555555556,0.23948092501773255
9,9,0.8055555555555556,0.9999999999999997
