subject,window_id,start_trial,end_trial,acc_ra,acc_w0,acc_w05,delta_dev_vs_ra,rho_kcar,d_src,d_tgt,sigma_recent,entropy,conf_max,label
1,0,0,32,0.65625,0.53125,0.5625,-0.09375,0.9681249244417313,2.342634410608413,2.0472404908960167,0.4093835532514746,1.0708930444409814,0.5418046455405137,ra-safe
1,1,32,64,0.46875,0.4375,0.4375,-0.03125,0.9263017715641927,2.4492063101470407,2.0309025281358393,0.4733394571083921,1.1612619762297571,0.4836002795225651,ra-safe
1,2,64,96,0.6875,0.59375,0.65625,-0.03125,0.9149172243595145,2.5176855217533283,2.345456081940592,0.5359976932433261,1.1084465849395602,0.5250437327610774,ra-safe
1,3,96,128,0.46875,0.40625,0.46875,0.0,0.8266196609606448,2.661581125348197,2.090459079890082,0.5050428849020417,1.1449476493408153,0.48817687431027235,neutral
1,4,128,160,0.59375,0.59375,0.5625,0.0,0.9470354571728571,2.6402567897950564,2.1397552803808573,0.505921312861914,1.1185939865709504,0.5287151159969832,neutral
1,5,160,192,0.59375,0.53125,0.59375,0.0,0.9341285239347754,2.4843143696773513,2.1097878437150275,0.5258367565047088,1.1535510432576586,0.4999012549479912,neutral
1,6,192,224,0.46875,0.5,0.5,0.03125,0.8684887251060256,2.4680562458687936,2.2969328625793306,0.5429061765477551,1.172122956781775,0.48984548985456994,deviation-beneficial
1,7,224,256,0.4375,0.5,0.46875,0.0625,0.9260562668531359,2.7307993661257104,2.3437537772333488,0.5654488676145908,1.1433700017019373,0.499615524306297,deviation-beneficial
1,8,256,288,0.59375,0.59375,0.5625,0.0,0.9490932620577769,2.682569670467276,2.3615847525993,0.5500257365923684,1.200669566594983,0.4620349428640006,neutral
2,0,0,32,0.21875,0.3125,0.25,0.09375,0.9122906706386211,3.682739177615143,1.2257265012224121,0.3979896154186027,1.2618182331716707,0.4269974385551951,deviation-beneficial
2,1,32,64,0.25,0.25,0.28125,0.03125,0.8953632742287378,4.047763524332359,1.939962132355601,0.7301983456439578,1.07738616041456,0.5329192254961882,deviation-beneficial
2,2,64,96,0.125,0.21875,0.1875,0.09375,0.8743159314496687,3.642377208832314,1.2613391036636494,0.7707618971270587,1.240893736014634,0.4332169736834449,deviation-beneficial
2,3,96,128,0.25,0.1875,0.15625,-0.0625,0.7575903528304065,4.6138075828353085,2.073085746176142,0.9630359018777976,1.1082729366140451,0.49744876046354075,ra-safe
2,4,128,160,0.1875,0.21875,0.1875,0.03125,0.899760085353534,3.602745547536917,1.457930583195544,0.743314081139809,1.1673150611008993,0.492760252540205,deviation-beneficial
2,5,160,192,0.125,0.25,0.21875,0.125,0.8557850816790651,3.0017707760830867,1.1725327168661823,0.530581477560014,1.243765711841849,0.4327159760761249,deviation-beneficial
2,6,192,224,0.28125,0.28125,0.25,0.0,0.776504718201804,3.4994833220932318,1.4732577387830301,0.7600724156796579,1.230937513084812,0.42395118720093333,neutral
2,7,224,256,0.25,0.1875,0.21875,-0.03125,0.7538521366824299,3.310076168781846,1.7434631838305243,0.7012855289769233,1.2684740639605978,0.4009910950982556,ra-safe
2,8,256,288,0.28125,0.28125,0.34375,0.0625,0.9022298110487984,2.588431206665828,1.3934716992173066,0.4094131489835592,1.1581906874429182,0.4758769128329533,deviation-beneficial
3,0,0,32,0.625,0.46875,0.6875,0.0625,0.9176380572628653,2.3382667440946605,2.060043038455592,0.44032061375964143,1.1862509776992631,0.4769023367842653,deviation-beneficial
3,1,32,64,0.75,0.5,0.71875,-0.03125,0.9410252460533275,2.3084701813869257,2.086405372593103,0.45274614864425206,1.1611209344318305,0.5004953181511195,ra-safe
3,2,64,96,0.6875,0.625,0.78125,0.09375,0.9346270182888915,2.3104609644266625,2.0756534158801214,0.4870012845596272,1.1361780030513562,0.5009803716132032,deviation-beneficial
3,3,96,128,0.59375,0.25,0.46875,-0.125,0.8777755615625108,2.459532422454514,2.175934305948962,0.5161935389904335,1.1728425416959183,0.488041861853429,ra-safe
3,4,128,160,0.71875,0.46875,0.5625,-0.15625,0.9345845475174455,2.738188248842097,2.198619347035331,0.5355872773336126,1.0916959448666856,0.5374393880085993,ra-safe
3,5,160,192,0.65625,0.34375,0.625,-0.03125,0.8881785043967646,2.6566060203923856,1.9548943239965255,0.5192857227379669,1.0897340782171205,0.5403742681685256,ra-safe
3,6,192,224,0.59375,0.375,0.53125,-0.0625,0.8423245981612135,2.744284316462897,2.0496593529812857,0.5398694361134759,1.1575601144107541,0.4954898524380781,ra-safe
3,7,224,256,0.65625,0.46875,0.5,-0.15625,0.9244302736185349,2.820118936529465,1.837673231168371,0.5025821782153896,1.1312728140802104,0.5064295363523542,ra-safe
3,8,256,288,0.59375,0.625,0.65625,0.0625,0.9517632265480859,2.7064922853625166,1.728662232623617,0.4465287474419779,1.0639551406882857,0.545387034439168,deviation-beneficial
4,0,0,32,0.375,0.3125,0.34375,-0.03125,0.8587215117154235,2.9949984033392436,1.4280531013832367,0.3148102725532436,1.2321861002640195,0.44950363959588285,ra-safe
4,1,32,64,0.375,0.375,0.375,0.0,0.9448271985935321,2.8069251902854453,1.5616756568884855,0.36074216532866876,1.2371435223419776,0.44575748420232286,neutral
4,2,64,96,0.40625,0.34375,0.4375,0.03125,0.9700079909917653,2.81478072316376,1.5622762679729583,0.3983090580235922,1.2520511774564262,0.4291627181298706,deviation-beneficial
4,3,96,128,0.4375,0.3125,0.375,-0.0625,0.9195399861525252,2.8080042831539274,1.5066999846299,0.37386814156915793,1.2322180698334542,0.44344116321471916,ra-safe
4,4,128,160,0.28125,0.25,0.21875,-0.03125,0.8935107210591352,2.7805109943574213,1.6710336273789494,0.40176418111954587,1.2187907387961685,0.4443981507817355,ra-safe
4,5,160,192,0.3125,0.34375,0.375,0.0625,0.8968040883293659,2.3098981536127665,1.683354385019824,0.4088278387075318,1.2078272425604624,0.4562938145005459,deviation-beneficial
4,6,192,224,0.53125,0.46875,0.53125,0.0,0.9325908132290287,2.5141441120164227,1.5094701177744156,0.41450938306781787,1.2309895430562587,0.43192824773686456,neutral
4,7,224,256,0.375,0.25,0.25,-0.125,0.9647545066924346,2.4680155264892054,1.5637673311643692,0.3956041697463387,1.2026139808114091,0.4680972593014767,ra-safe
4,8,256,288,0.375,0.375,0.34375,0.0,0.8967940303269393,2.5698070764222964,1.57367422853648,0.41782863017707045,1.2350772348137684,0.4453265554306868,neutral
5,0,0,32,0.5,0.375,0.4375,-0.0625,0.8190726207405825,6.962030665804688,1.5100720068270024,0.6344780256390623,1.2322722365978942,0.4354287165324906,ra-safe
5,1,32,64,0.28125,0.25,0.25,-0.03125,0.882932778869043,6.662764810659658,1.5220715300772039,0.7611179087834775,1.201973411590747,0.4481804508380998,ra-safe
5,2,64,96,0.375,0.25,0.15625,-0.125,0.8186110203611815,6.636063699628359,1.3860449383583724,0.7533813912880616,1.2287003430263232,0.4266608757547533,ra-safe
5,3,96,128,0.21875,0.375,0.4375,0.21875,0.8672817191975039,6.080697239636189,1.2565866673725519,0.7994308254341485,1.246910265446234,0.417368658145832,deviation-beneficial
5,4,128,160,0.3125,0.1875,0.21875,-0.09375,0.754300111776112,6.376214258040103,1.353533010604537,0.7996299096312038,1.283511580330766,0.3928460348147068,ra-safe
5,5,160,192,0.34375,0.28125,0.3125,-0.03125,0.8894371184181137,6.156857733867079,1.575347276611222,0.7546198543642655,1.163042651611139,0.4651588571382226,ra-safe
5,6,192,224,0.25,0.28125,0.3125,0.0625,0.9003016087471001,7.319232732191166,1.335953768584361,0.6977189637795276,1.2318751461383601,0.43327788837184317,deviation-beneficial
5,7,224,256,0.1875,0.25,0.40625,0.21875,0.8657943576691849,7.570600188046451,1.2916120461353233,0.6784147684266915,1.2595720193690223,0.4056782362866213,deviation-beneficial
5,8,256,288,0.5,0.25,0.34375,-0.15625,0.9151774944801411,6.906747062540616,1.2563035697418605,0.6945217380626681,1.2206041440091748,0.44317420548926534,ra-safe
