policy,setting,coverage,mean_accuracy,std_accuracy,mean_delta_vs_ra,wins_vs_ra,losses_vs_ra,worst_subject_delta,late_session_acc,negative_transfer_subject_count,mean_balanced_accuracy,mean_macro_f1
d_tgt,near_causal,0.1,0.42901234567901236,0.13057946080722296,0.0015432098765432107,4,2,-0.00694444444444442,0.4027777777777778,2,0.4290123456790124,0.4116128896985571
d_tgt,near_causal,0.2,0.42592592592592593,0.12926743381240474,-0.0015432098765432137,4,5,-0.02083333333333337,0.40277777777777785,5,0.42592592592592593,0.409297265995783
d_tgt,near_causal,0.3,0.42746913580246915,0.1329394641459057,1.2335811384723961e-17,5,3,-0.024305555555555525,0.4050925925925926,3,0.42746913580246915,0.4107335693304722
d_tgt,near_causal,0.4,0.4251543209876543,0.1314995137934546,-0.002314814814814816,4,4,-0.02777777777777779,0.4050925925925926,4,0.4251543209876543,0.4077460051713385
d_tgt,near_causal,0.5,0.4251543209876543,0.1314995137934546,-0.002314814814814816,4,4,-0.02777777777777779,0.4050925925925926,4,0.4251543209876543,0.4077460051713385
d_tgt,near_causal,0.6,0.42901234567901236,0.12929204347523235,0.0015432098765432198,5,3,-0.03125,0.4097222222222222,3,0.42901234567901236,0.41092787200031
d_tgt,near_causal,0.7,0.4232253086419753,0.13370811003498984,-0.004243827160493822,4,4,-0.05208333333333337,0.4050925925925926,4,0.4232253086419753,0.40389409607532367
d_tgt,near_causal,0.8,0.4209104938271605,0.12802307205632116,-0.006558641975308649,5,4,-0.05902777777777779,0.40625,4,0.4209104938271605,0.40055067069295835
d_tgt,near_causal,0.9,0.4166666666666667,0.1285425858361998,-0.010802469135802486,4,4,-0.06944444444444448,0.39467592592592593,4,0.4166666666666667,0.39267152813481965
d_tgt,retrospective,0.1,0.42476851851851855,0.1321270666002809,-0.002700617283950617,3,6,-0.01736111111111116,0.39699074074074076,6,0.42476851851851855,0.4067939728206699
d_tgt,retrospective,0.2,0.42399691358024694,0.1287469430930133,-0.003472222222222219,2,5,-0.03125,0.39814814814814814,5,0.42399691358024694,0.40733522385684545
d_tgt,retrospective,0.3,0.4205246913580247,0.13113609802247833,-0.006944444444444454,1,6,-0.03472222222222221,0.3969907407407407,6,0.4205246913580247,0.4046837300341362
