target_subject,method,accuracy,kappa,f1_macro
1,dynamic_exp_b,0.5416666666666666,0.38888888888888884,0.510784434166399
1,fixed_w=0.0,0.5069444444444444,0.34259259259259256,0.4378172574903996
1,fixed_w=0.5,0.5347222222222222,0.37962962962962965,0.5014150363089124
1,fixed_w=1.0,0.5590277777777778,0.4120370370370371,0.5455847983365125
2,dynamic_exp_b,0.19444444444444445,-0.07407407407407418,0.1804199883903311
2,fixed_w=0.0,0.22916666666666666,-0.02777777777777768,0.2061005442649528
2,fixed_w=0.5,0.2013888888888889,-0.06481481481481488,0.18354204892966358
2,fixed_w=1.0,0.2013888888888889,-0.06481481481481488,0.19365608620894173
3,dynamic_exp_b,0.5972222222222222,0.4629629629629629,0.5965150399055174
3,fixed_w=0.0,0.46875,0.29166666666666663,0.4498899449293902
3,fixed_w=0.5,0.5763888888888888,0.43518518518518523,0.573307501497648
3,fixed_w=1.0,0.6423611111111112,0.5231481481481481,0.6461034372196701
4,dynamic_exp_b,0.4097222222222222,0.2129629629629629,0.38278504088436605
4,fixed_w=0.0,0.3472222222222222,0.12962962962962965,0.27981484762579734
4,fixed_w=0.5,0.3888888888888889,0.18518518518518523,0.35628121878121877
4,fixed_w=1.0,0.3784722222222222,0.17129629629629628,0.37635062748699116
5,dynamic_exp_b,0.3020833333333333,0.06944444444444442,0.2399904608742891
5,fixed_w=0.0,0.2743055555555556,0.03240740740740744,0.16601726726726726
5,fixed_w=0.5,0.3159722222222222,0.08796296296296291,0.24702880987562326
5,fixed_w=1.0,0.3125,0.08333333333333337,0.30290568456395006
6,dynamic_exp_b,0.2743055555555556,0.03240740740740744,0.25107726685396586
6,fixed_w=0.0,0.2465277777777778,-0.004629629629629539,0.17683310980337769
6,fixed_w=0.5,0.2604166666666667,0.01388888888888884,0.23437862318840577
6,fixed_w=1.0,0.34375,0.125,0.3266758538422903
7,dynamic_exp_b,0.3715277777777778,0.1620370370370371,0.3490112770143045
7,fixed_w=0.0,0.3368055555555556,0.1157407407407407,0.28364307261366084
7,fixed_w=0.5,0.3680555555555556,0.15740740740740744,0.3420332895230996
7,fixed_w=1.0,0.4166666666666667,0.2222222222222222,0.41235582962201667
8,dynamic_exp_b,0.5451388888888888,0.3935185185185185,0.5194792324885704
8,fixed_w=0.0,0.5208333333333334,0.36111111111111116,0.4914323293487757
8,fixed_w=0.5,0.5416666666666666,0.38888888888888884,0.5136334576460625
8,fixed_w=1.0,0.5555555555555556,0.40740740740740744,0.528785645369666
9,dynamic_exp_b,0.4861111111111111,0.31481481481481477,0.49125567173012424
9,fixed_w=0.0,0.4930555555555556,0.32407407407407407,0.4921245987520553
9,fixed_w=0.5,0.5034722222222222,0.3379629629629629,0.5081841783608916
9,fixed_w=1.0,0.4965277777777778,0.3287037037037037,0.50251443001443
